epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,2037.58,0.31648,0.93349,0.26837,0.15056,0.00618,0.12375,1,1,0.995,0.995,1,1,0.995,0.96059,0.20051,0.25277,0.30434,0.06402,0.00749,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,2071.39,0.38173,1.10113,0.2668,0.16821,0.00747,0.31222,1,0.99448,0.995,0.99499,1,0.99448,0.995,0.96285,0.15461,0.24995,0.28586,0.08262,0.0049,0,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,2104.95,0.34004,1.16849,0.26556,0.1742,0.00652,0.16019,0.99973,1,0.995,0.99276,0.99973,1,0.995,0.94639,0.21577,0.29284,0.26482,0.06906,0.0054,0,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,2138.62,0.36984,1.14042,0.2702,0.1815,0.00709,0.21459,0.99973,1,0.995,0.9907,0.99973,1,0.995,0.93898,0.24964,0.30051,0.25848,0.0767,0.00901,0,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,2172,0.31759,1.17552,0.26633,0.17594,0.00628,0.41211,0.99969,1,0.995,0.99269,0.99969,1,0.995,0.85902,0.27727,0.53702,0.24615,0.12834,0.00814,0,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,2204.95,0.30752,1.08977,0.26163,0.16878,0.00602,0.47377,0.99974,1,0.995,0.99187,0.99974,1,0.995,0.94852,0.26985,0.29713,0.24717,0.0866,0.00791,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,2237.96,0.36582,1.04311,0.26561,0.16793,0.00675,0.12055,1,1,0.995,0.995,1,1,0.995,0.95482,0.10894,0.2715,0.25633,0.04765,0.00368,0,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,2270.9,0.3083,0.94654,0.25264,0.17315,0.00616,0.06812,0.99974,1,0.995,0.99499,0.99974,1,0.995,0.96942,0.24245,0.20859,0.25473,0.07449,0.00916,0,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,2304.64,0.30921,1.0383,0.25244,0.16755,0.0061,0.31902,1,0.99373,0.995,0.98975,1,0.99373,0.995,0.95165,0.2755,0.28233,0.27196,0.09817,0.00923,0,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,2338.15,0.32645,1.14893,0.25055,0.17224,0.00619,0.57534,0.99971,1,0.995,0.99313,0.99971,1,0.995,0.97248,0.25856,0.21462,0.26402,0.07871,0.00652,0,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,2372.52,0.31775,1.15522,0.24514,0.15822,0.00621,0.57304,0.9965,0.995,0.995,0.99485,0.9965,0.995,0.995,0.94679,0.19224,0.28377,0.26264,0.11885,0.00719,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,2406.12,0.32438,1.1291,0.24464,0.16507,0.00613,0.26347,0.99699,1,0.995,0.995,0.99699,1,0.995,0.96167,0.23785,0.23782,0.23814,0.10508,0.00883,0,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,2439.46,0.29693,1.01167,0.24108,0.16601,0.00583,0.1254,0.99221,0.98,0.99465,0.99465,0.99221,0.98,0.99465,0.8869,0.19882,0.46022,0.2526,0.17958,0.00704,0,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,2472.6,0.35114,1.0872,0.24527,0.17322,0.00656,0.40706,0.99882,1,0.995,0.9926,0.99882,1,0.995,0.84352,0.26089,0.59782,0.2467,0.11508,0.00764,0,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,2505.31,0.3754,1.03408,0.23567,0.17494,0.00713,0.07447,0.99973,1,0.995,0.8959,0.99973,1,0.995,0.93583,0.49144,0.32645,0.2195,0.13169,0.01239,0,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,2538.83,0.38376,1.0462,0.23992,0.16053,0.00718,0.43406,0.99543,0.985,0.9949,0.9949,0.99543,0.985,0.9949,0.96434,0.17236,0.24205,0.22235,0.09741,0.00528,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,2572.63,0.3016,0.97698,0.23795,0.14745,0.00568,0.1652,0.98648,0.995,0.9949,0.9949,0.98648,0.995,0.9949,0.96596,0.19618,0.2265,0.26385,0.13666,0.00619,0,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,2606.38,0.33647,0.96676,0.2356,0.15637,0.00631,0.11158,0.99492,0.97868,0.9947,0.92221,0.99492,0.97868,0.9947,0.97418,0.38527,0.20247,0.22848,0.1609,0.01055,0,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
