node_id,x,y,z
785,-147.344,125.155,-2.44962
786,-150.07,67.4493,-25.6222
787,-151.838,123.345,-2.45221
788,-143.449,132.568,-2.45111
789,-70.3783,138.472,-45.2452
790,-143.901,135.017,-2.44633
791,-154.181,123.147,-2.45067
792,-149.359,122.745,-2.45084
793,-160.589,38.2663,-69.8821
794,-142.835,127.294,-2.45033
795,-149.878,83.8693,-14.0796
796,-158.798,121.586,-2.75675
797,-146.937,122.535,-2.45062
798,-82.9453,172.044,-42.8429
799,-129.645,52.1038,-45.9018
800,-155.692,53.5713,-39.9505
801,-141.071,132.187,-2.44679
802,-141.408,134.745,-2.45107
803,-160.875,118.824,-3.1105
804,-142.457,124.699,-2.44944
805,-56.7597,128.773,-73.2207
